Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Viva Vale,Noreste,San Luis,Ciudad Valles,22/04/2026,12,15633000,15633000,8645376,24278376,55.30%,1912
Viva Vale,Noreste,San Luis,Matehuala,22/04/2026,12,15604000,15604000,8424132,24028132,53.99%,2158
Viva Vale,Noreste,Tamaulipas,Altamira,22/04/2026,12,31922000,31922000,17221536,49143536,53.95%,4234
Viva Vale,Noreste,Tampico,Tampico Centro,22/04/2026,12,49917000,49917000,27304448,77221448,54.70%,6631
Viva Vale,Noreste,Tampico,Tampico Madero,22/04/2026,12,38306000,38306000,20955088,59261088,54.70%,5081
Viva Vale,Pacifico,Los Cabos,Cabo San Lucas,22/04/2026,12,19037000,19037000,10447592,29484592,54.88%,2338
Viva Vale,Pacifico,Los Cabos,San Jose Del Cabo,22/04/2026,12,21001000,21001000,11468992,32469992,54.61%,2528
Viva Vale,Pacifico,Mazatlan,La Cruz,22/04/2026,12,7550000,7550000,4092048,11642048,54.20%,972
Viva Vale,Pacifico,Mazatlan,Mazatlán Centro,22/04/2026,12,9647000,9647000,5236892,14883892,54.29%,1323
Viva Vale,Pacifico,Sinaloa Centro,Culiacán Centro,22/04/2026,12,10653000,10653000,5703128,16356128,53.54%,1448
Viva Vale,Pacifico,Sinaloa Sur 1,El Dorado,22/04/2026,12,1351000,1351000,733016,2084016,54.26%,176
Viva Vale,Pacifico,Sinaloa Sur 1,Navolato,22/04/2026,12,1592000,1592000,859852,2451852,54.01%,207
Viva Vale,Sureste,Tabasco Centro,Macuspana,22/04/2026,12,23839000,23839000,13194544,37033544,55.35%,2931
Viva Vale,Sureste,Tabasco Centro,Teapa,22/04/2026,12,18772000,18772000,10209872,28981872,54.39%,2354
Viva Vale,Sureste,Tabasco Centro,Villahermosa,22/04/2026,12,30874000,30874000,16894964,47768964,54.72%,4145
Viva Vale,Sureste,Tabasco Norte,Cardenas 2,22/04/2026,12,40811000,40811000,22263196,63074196,54.55%,5573
Viva Vale,Sureste,Tabasco Norte,Comalcalco,22/04/2026,12,23100000,23100000,12737408,35837408,55.14%,3008
