Date,Marca,Subdirección,Zona,Sucursal,Total dispersado,Monto Financiero,Monto PP,Canjes,Prestamos Personales,Canje Promedio,PP Promedio
30/06/2026,Viva Vale,Sureste,Tabasco Norte,Paraiso,78000,78000,,12,,6500,
30/06/2026,Viva Vale,Sureste,Veracruz Norte,Tuxpan,78000,78000,,8,,9750,
02/07/2026,Vale Amigo,Chihuahua,Chihuahua Sur,Meoqui,78000,78000,,9,,8666.67,
02/07/2026,Viva Vale,Chihuahua,Chihuahua Norte,Cd. Juárez 2,78000,78000,,11,,7090.91,
04/06/2026,Viva Vale,Sureste,Veracruz Sur,Minatitlán,77500,77500,,14,,5535.71,
05/06/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana 2,77500,55500,22000,8,1,6937.5,22000
06/06/2026,Vale Amigo,Noreste,Coahuila,Guadalupe Victoria,77500,77500,,13,,5961.54,
10/06/2026,Vale Amigo,Bajio,Zacatecas,Fresnillo,77500,77500,,11,,7045.45,
11/06/2026,Vale Amigo,Sureste,Veracruz Sur,Acayucan,77500,56500,21000,10,3,5650,7000
15/06/2026,Viva Vale,Noreste,San Luis,Matehuala,77500,77500,,11,,7045.45,
25/06/2026,Vale Amigo,Sureste,Tabasco Norte,Comalcalco,77500,47500,30000,9,2,5277.78,15000
02/07/2026,Vale Amigo,Baja Sonora Norte,Mexicali,Mexicali,77500,39500,38000,7,3,5642.86,12666.67
19/06/2026,Vale Amigo,Digital Suroeste,Digital Oaxaca,Juchitan Digital,77033,77033,,11,,7003,
02/06/2026,Viva Vale,Chihuahua,Chihuahua Sur,Jimenez,77000,77000,,10,,7700,
03/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez 2,77000,77000,,12,,6416.67,
05/06/2026,Vale Amigo,Bajio,Durango,El Salto,77000,55000,22000,8,1,6875,22000
05/06/2026,Vale Amigo,Sureste,Tabasco Centro,Teapa,77000,62000,15000,9,1,6888.89,15000
09/06/2026,Vale Amigo,Pacifico,Mazatlan,La Cruz,77000,77000,,10,,7700,
10/06/2026,Vale Amigo,Baja Sonora Norte,Mexicali,San Luis Rio Colorado,77000,77000,,13,,5923.08,
